code,code_desc,inclusions,exclusions,sub_sub_block,sub_block,block,category,chapter
1B213,disseminated non-tuberculous mycobacterial infection,,,,,infections due to non-tuberculous mycobacteria,mycobacterial diseases,certain infectious or parasitic diseases
1B214,gastrointestinal non-tuberculous mycobacterial infection,,,,,infections due to non-tuberculous mycobacteria,mycobacterial diseases,certain infectious or parasitic diseases
1B21Y,non-tuberculous mycobacterial infection of other specified site,,,,,infections due to non-tuberculous mycobacteria,mycobacterial diseases,certain infectious or parasitic diseases
1B21Z,non-tuberculous mycobacterial infection of unspecified site,,,,,infections due to non-tuberculous mycobacteria,mycobacterial diseases,certain infectious or parasitic diseases
1B2Y,other specified mycobacterial diseases,,,,,,mycobacterial diseases,certain infectious or parasitic diseases
1B2Z,"mycobacterial diseases, unspecified",,,,,,mycobacterial diseases,certain infectious or parasitic diseases
1B40,acute rheumatic fever without mention of heart involvement,,,,,acute rheumatic fever,certain staphylococcal or streptococcal diseases,certain infectious or parasitic diseases
1B400,"rheumatic arthritis, acute or subacute",,,,acute rheumatic fever without mention of heart involvement,acute rheumatic fever,certain staphylococcal or streptococcal diseases,certain infectious or parasitic diseases
1B40Y,other specified acute rheumatic fever without mention of heart involvement,,,,acute rheumatic fever without mention of heart involvement,acute rheumatic fever,certain staphylococcal or streptococcal diseases,certain infectious or parasitic diseases
1B40Z,"acute rheumatic fever without mention of heart involvement, unspecified",,,,acute rheumatic fever without mention of heart involvement,acute rheumatic fever,certain staphylococcal or streptococcal diseases,certain infectious or parasitic diseases
1B41,acute rheumatic fever with heart involvement,,"['rheumatic mitral valve stenosis', 'rheumatic mitral valve insufficiency', 'rheumatic mitral valve prolapse', 'rheumatic mitral stenosis with insufficiency', 'rheumatic aortic valve stenosis', 'rheumatic aortic valve insufficiency', 'rheumatic aortic stenosis with insufficiency', 'rheumatic tricuspid valve stenosis', 'rheumatic tricuspid valve insufficiency', 'rheumatic tricuspid valve stenosis with insufficiency', 'rheumatic pulmonary valve stenosis', 'rheumatic pulmonary valve insufficiency', 'rheumatic pulmonary valve stenosis with insufficiency']",,,acute rheumatic fever,certain staphylococcal or streptococcal diseases,certain infectious or parasitic diseases
1B410,acute rheumatic pericarditis,,,,acute rheumatic fever with heart involvement,acute rheumatic fever,certain staphylococcal or streptococcal diseases,certain infectious or parasitic diseases
1B411,acute rheumatic endocarditis,,,,acute rheumatic fever with heart involvement,acute rheumatic fever,certain staphylococcal or streptococcal diseases,certain infectious or parasitic diseases
1B4110,rheumatic aortitis,,,acute rheumatic endocarditis,acute rheumatic fever with heart involvement,acute rheumatic fever,certain staphylococcal or streptococcal diseases,certain infectious or parasitic diseases
1B411Y,other specified acute rheumatic endocarditis,,,acute rheumatic endocarditis,acute rheumatic fever with heart involvement,acute rheumatic fever,certain staphylococcal or streptococcal diseases,certain infectious or parasitic diseases
1B411Z,"acute rheumatic endocarditis, unspecified",,,acute rheumatic endocarditis,acute rheumatic fever with heart involvement,acute rheumatic fever,certain staphylococcal or streptococcal diseases,certain infectious or parasitic diseases
1B412,acute rheumatic myocarditis,,,,acute rheumatic fever with heart involvement,acute rheumatic fever,certain staphylococcal or streptococcal diseases,certain infectious or parasitic diseases
1B41Y,other acute rheumatic heart disease,,,,acute rheumatic fever with heart involvement,acute rheumatic fever,certain staphylococcal or streptococcal diseases,certain infectious or parasitic diseases
1B41Z,"acute rheumatic heart disease, unspecified",,,,acute rheumatic fever with heart involvement,acute rheumatic fever,certain staphylococcal or streptococcal diseases,certain infectious or parasitic diseases
1B42,rheumatic chorea,,['huntington chorea'],,,acute rheumatic fever,certain staphylococcal or streptococcal diseases,certain infectious or parasitic diseases
1B50,scarlet fever,['scarlatina nos'],"['streptococcal sore throat', 'staphylococcal scarlatina']",,,,certain staphylococcal or streptococcal diseases,certain infectious or parasitic diseases
1B51,streptococcal pharyngitis,['streptococcal sore throat'],['scarlet fever'],,,,certain staphylococcal or streptococcal diseases,certain infectious or parasitic diseases
1B53,meningitis due to streptococcus,['streptococcal meningitis'],,,,,certain staphylococcal or streptococcal diseases,certain infectious or parasitic diseases
1B54,meningitis due to staphylococcus,['staphylococcal meningitis'],,,,,certain staphylococcal or streptococcal diseases,certain infectious or parasitic diseases
1B5Y,other specified staphylococcal or streptococcal diseases,,,,,,certain staphylococcal or streptococcal diseases,certain infectious or parasitic diseases
1B5Z,"staphylococcal or streptococcal diseases, unspecified",,,,,,certain staphylococcal or streptococcal diseases,certain infectious or parasitic diseases
1B70,"bacterial cellulitis, erysipelas or lymphangitis",,['eosinophilic cellulitis'],,,,pyogenic bacterial infections of the skin or subcutaneous tissues,certain infectious or parasitic diseases
1B700,erysipelas,,['postpartum or puerperal erysipelas'],,,"bacterial cellulitis, erysipelas or lymphangitis",pyogenic bacterial infections of the skin or subcutaneous tissues,certain infectious or parasitic diseases
1B7000,erysipelas of face,,,,erysipelas,"bacterial cellulitis, erysipelas or lymphangitis",pyogenic bacterial infections of the skin or subcutaneous tissues,certain infectious or parasitic diseases
1B7001,erysipelas of external ear,,,,erysipelas,"bacterial cellulitis, erysipelas or lymphangitis",pyogenic bacterial infections of the skin or subcutaneous tissues,certain infectious or parasitic diseases
1B7002,erysipelas of lower limb,,,,erysipelas,"bacterial cellulitis, erysipelas or lymphangitis",pyogenic bacterial infections of the skin or subcutaneous tissues,certain infectious or parasitic diseases
1B700Y,erysipelas of other specified site,,,,erysipelas,"bacterial cellulitis, erysipelas or lymphangitis",pyogenic bacterial infections of the skin or subcutaneous tissues,certain infectious or parasitic diseases
1B700Z,"erysipelas, unspecified",,,,erysipelas,"bacterial cellulitis, erysipelas or lymphangitis",pyogenic bacterial infections of the skin or subcutaneous tissues,certain infectious or parasitic diseases
1B701,streptococcal cellulitis of skin,,"['orbital cellulitis', 'cellulitis of external ear', 'anal cellulitis', 'vulvar cellulitis', 'cellulitis of penis', 'inflammatory disorders of scrotum', 'perirectal cellulitis', 'superficial incisional site infection']",,,"bacterial cellulitis, erysipelas or lymphangitis",pyogenic bacterial infections of the skin or subcutaneous tissues,certain infectious or parasitic diseases
1B702,staphylococcal cellulitis of skin,,"['orbital cellulitis', 'cellulitis of external ear', 'anal cellulitis', 'vulvar cellulitis', 'cellulitis of penis', 'inflammatory disorders of scrotum', 'perirectal cellulitis', 'superficial incisional site infection']",,,"bacterial cellulitis, erysipelas or lymphangitis",pyogenic bacterial infections of the skin or subcutaneous tissues,certain infectious or parasitic diseases
1B703,ascending bacterial lymphangitis,,,,,"bacterial cellulitis, erysipelas or lymphangitis",pyogenic bacterial infections of the skin or subcutaneous tissues,certain infectious or parasitic diseases
1B70Y,bacterial cellulitis or lymphangitis due to other specified bacterium,,,,,"bacterial cellulitis, erysipelas or lymphangitis",pyogenic bacterial infections of the skin or subcutaneous tissues,certain infectious or parasitic diseases
1B70Z,bacterial cellulitis or lymphangitis due to unspecified bacterium,,,,,"bacterial cellulitis, erysipelas or lymphangitis",pyogenic bacterial infections of the skin or subcutaneous tissues,certain infectious or parasitic diseases
1B71,necrotising fasciitis,,,,,,pyogenic bacterial infections of the skin or subcutaneous tissues,certain infectious or parasitic diseases
1B710,streptococcal necrotising fasciitis,,['neonatal necrotising fasciitis'],,,necrotising fasciitis,pyogenic bacterial infections of the skin or subcutaneous tissues,certain infectious or parasitic diseases
1B711,polymicrobial necrotising fasciitis,,['neonatal necrotising fasciitis'],,,necrotising fasciitis,pyogenic bacterial infections of the skin or subcutaneous tissues,certain infectious or parasitic diseases
1B712,neonatal necrotising fasciitis,,,,,necrotising fasciitis,pyogenic bacterial infections of the skin or subcutaneous tissues,certain infectious or parasitic diseases
1B71Y,necrotising fasciitis due to other specified bacterial infection,,,,,necrotising fasciitis,pyogenic bacterial infections of the skin or subcutaneous tissues,certain infectious or parasitic diseases
1B71Z,"necrotising fasciitis, unspecified",,,,,necrotising fasciitis,pyogenic bacterial infections of the skin or subcutaneous tissues,certain infectious or parasitic diseases
1B72,impetigo,,"['impetigo herpetiformis', 'staphylococcal scalded skin syndrome']",,,,pyogenic bacterial infections of the skin or subcutaneous tissues,certain infectious or parasitic diseases
1B720,bullous impetigo,,,,,impetigo,pyogenic bacterial infections of the skin or subcutaneous tissues,certain infectious or parasitic diseases
1B721,non-bullous impetigo,,,,,impetigo,pyogenic bacterial infections of the skin or subcutaneous tissues,certain infectious or parasitic diseases
1B722,secondary impetiginisation of the skin,,,,,impetigo,pyogenic bacterial infections of the skin or subcutaneous tissues,certain infectious or parasitic diseases
1B72Y,other specified impetigo,,,,,impetigo,pyogenic bacterial infections of the skin or subcutaneous tissues,certain infectious or parasitic diseases
1B72Z,"impetigo, unspecified",,,,,impetigo,pyogenic bacterial infections of the skin or subcutaneous tissues,certain infectious or parasitic diseases
1B73,ecthyma,,,,,,pyogenic bacterial infections of the skin or subcutaneous tissues,certain infectious or parasitic diseases
1B730,streptococcal ecthyma,,,,,ecthyma,pyogenic bacterial infections of the skin or subcutaneous tissues,certain infectious or parasitic diseases
1B731,staphylococcal ecthyma,,,,,ecthyma,pyogenic bacterial infections of the skin or subcutaneous tissues,certain infectious or parasitic diseases
1B732,ecthyma gangrenosum,,,,,ecthyma,pyogenic bacterial infections of the skin or subcutaneous tissues,certain infectious or parasitic diseases
1B73Y,other specified ecthyma,,,,,ecthyma,pyogenic bacterial infections of the skin or subcutaneous tissues,certain infectious or parasitic diseases
1B73Z,"ecthyma, unspecified",,,,,ecthyma,pyogenic bacterial infections of the skin or subcutaneous tissues,certain infectious or parasitic diseases
1B74,superficial bacterial folliculitis,,,,,,pyogenic bacterial infections of the skin or subcutaneous tissues,certain infectious or parasitic diseases
1B740,staphylococcus aureus superficial folliculitis,,,,,superficial bacterial folliculitis,pyogenic bacterial infections of the skin or subcutaneous tissues,certain infectious or parasitic diseases
1B74Y,superficial bacterial folliculitis due to other specified organism,,,,,superficial bacterial folliculitis,pyogenic bacterial infections of the skin or subcutaneous tissues,certain infectious or parasitic diseases
1B74Z,superficial bacterial folliculitis due to unspecified organism,,,,,superficial bacterial folliculitis,pyogenic bacterial infections of the skin or subcutaneous tissues,certain infectious or parasitic diseases
1B75,deep bacterial folliculitis or pyogenic abscess of the skin,,,,,,pyogenic bacterial infections of the skin or subcutaneous tissues,certain infectious or parasitic diseases
1B750,furuncle,,,,,deep bacterial folliculitis or pyogenic abscess of the skin,pyogenic bacterial infections of the skin or subcutaneous tissues,certain infectious or parasitic diseases
1B751,carbuncle,,,,,deep bacterial folliculitis or pyogenic abscess of the skin,pyogenic bacterial infections of the skin or subcutaneous tissues,certain infectious or parasitic diseases
1B752,furunculosis,,,,,deep bacterial folliculitis or pyogenic abscess of the skin,pyogenic bacterial infections of the skin or subcutaneous tissues,certain infectious or parasitic diseases
1B753,pyogenic abscess of the skin,,,,,deep bacterial folliculitis or pyogenic abscess of the skin,pyogenic bacterial infections of the skin or subcutaneous tissues,certain infectious or parasitic diseases
1B754,chronic deep bacterial folliculitis,,,,,deep bacterial folliculitis or pyogenic abscess of the skin,pyogenic bacterial infections of the skin or subcutaneous tissues,certain infectious or parasitic diseases
1B75Z,"deep bacterial folliculitis or pyogenic abscess of the skin, unspecified",,,,,deep bacterial folliculitis or pyogenic abscess of the skin,pyogenic bacterial infections of the skin or subcutaneous tissues,certain infectious or parasitic diseases
1B7Y,other specified pyogenic bacterial infection of skin or subcutaneous tissue,,,,,,pyogenic bacterial infections of the skin or subcutaneous tissues,certain infectious or parasitic diseases
1B7Z,"pyogenic bacterial infection of skin or subcutaneous tissue, unspecified",,,,,,pyogenic bacterial infections of the skin or subcutaneous tissues,certain infectious or parasitic diseases
1B90,rat-bite fevers,,,,,,certain zoonotic bacterial diseases,certain infectious or parasitic diseases
1B900,spirillosis,['sodoku'],,,,rat-bite fevers,certain zoonotic bacterial diseases,certain infectious or parasitic diseases
1B901,streptobacillosis,"['epidemic arthritic erythema', 'haverhill fever', 'streptobacillary rat-bite fever']",,,,rat-bite fevers,certain zoonotic bacterial diseases,certain infectious or parasitic diseases
1B91,leptospirosis,,,,,,certain zoonotic bacterial diseases,certain infectious or parasitic diseases
1B92,glanders,['infection due to pseudomonas mallei'],,,,,certain zoonotic bacterial diseases,certain infectious or parasitic diseases
1B93,plague,,,,,,certain zoonotic bacterial diseases,certain infectious or parasitic diseases
1B930,bubonic plague,,,,,plague,certain zoonotic bacterial diseases,certain infectious or parasitic diseases
1B931,cellulocutaneous plague,,,,,plague,certain zoonotic bacterial diseases,certain infectious or parasitic diseases
1B932,pneumonic plague,,,,,plague,certain zoonotic bacterial diseases,certain infectious or parasitic diseases
1B933,plague meningitis,,,,,plague,certain zoonotic bacterial diseases,certain infectious or parasitic diseases
1B93Y,other specified plague,,,,,plague,certain zoonotic bacterial diseases,certain infectious or parasitic diseases
1B93Z,"plague, unspecified",,,,,plague,certain zoonotic bacterial diseases,certain infectious or parasitic diseases
1B94,tularaemia,"['deer-fly fever', 'rabbit fever', 'infection due to francisella tularensis']",,,,,certain zoonotic bacterial diseases,certain infectious or parasitic diseases
1B940,ulceroglandular tularaemia,,,,,tularaemia,certain zoonotic bacterial diseases,certain infectious or parasitic diseases
1B94Y,other specified tularaemia,,,,,tularaemia,certain zoonotic bacterial diseases,certain infectious or parasitic diseases
1B94Z,"tularaemia, unspecified",,,,,tularaemia,certain zoonotic bacterial diseases,certain infectious or parasitic diseases
1B95,brucellosis,"['malta fever', 'mediterranean fever', 'undulant fever']",,,,,certain zoonotic bacterial diseases,certain infectious or parasitic diseases
1B96,erysipeloid,,,,,,certain zoonotic bacterial diseases,certain infectious or parasitic diseases
1B97,anthrax,,,,,,certain zoonotic bacterial diseases,certain infectious or parasitic diseases
1B98,cat-scratch disease,"['cat-scratch fever', 'rochalimaea henselae infection']",,,,,certain zoonotic bacterial diseases,certain infectious or parasitic diseases
1B99,pasteurellosis,,,,,,certain zoonotic bacterial diseases,certain infectious or parasitic diseases
1B9A,extraintestinal yersiniosis,,"['enteritis due to yersinia enterocolitica', 'plague']",,,,certain zoonotic bacterial diseases,certain infectious or parasitic diseases
1B9Z,unspecified zoonotic bacterial disease,,,,,,certain zoonotic bacterial diseases,certain infectious or parasitic diseases
1C10,actinomycosis,,['actinomycetoma'],,,,other bacterial diseases,certain infectious or parasitic diseases
1C100,pulmonary actinomycosis,,,,,actinomycosis,other bacterial diseases,certain infectious or parasitic diseases
1C101,abdominal actinomycosis,,,,,actinomycosis,other bacterial diseases,certain infectious or parasitic diseases
1C102,cervicofacial actinomycosis,,,,,actinomycosis,other bacterial diseases,certain infectious or parasitic diseases
1C103,primary cutaneous actinomycosis,,,,,actinomycosis,other bacterial diseases,certain infectious or parasitic diseases
1C10Y,other specified forms of actinomycosis,,,,,actinomycosis,other bacterial diseases,certain infectious or parasitic diseases
1C10Z,"actinomycosis, unspecified",,,,,actinomycosis,other bacterial diseases,certain infectious or parasitic diseases
1C11,bartonellosis,,,,,,other bacterial diseases,certain infectious or parasitic diseases
1C110,carrion disease,,,,,bartonellosis,other bacterial diseases,certain infectious or parasitic diseases
1C1100,oroya fever,,,,carrion disease,bartonellosis,other bacterial diseases,certain infectious or parasitic diseases
1C1101,verruga peruana,,,,carrion disease,bartonellosis,other bacterial diseases,certain infectious or parasitic diseases
1C111,trench fever,['quintan fever'],,,,bartonellosis,other bacterial diseases,certain infectious or parasitic diseases
1C11Y,other forms of bartonellosis,,,,,bartonellosis,other bacterial diseases,certain infectious or parasitic diseases
1C11Z,"bartonellosis, unspecified",,,,,bartonellosis,other bacterial diseases,certain infectious or parasitic diseases
1C12,whooping cough,,,,,,other bacterial diseases,certain infectious or parasitic diseases
1C120,whooping cough due to bordetella pertussis,,,,,whooping cough,other bacterial diseases,certain infectious or parasitic diseases
1C121,whooping cough due to bordetella parapertussis,,,,,whooping cough,other bacterial diseases,certain infectious or parasitic diseases
1C12Y,other specified whooping cough,,,,,whooping cough,other bacterial diseases,certain infectious or parasitic diseases
1C12Z,"whooping cough, unspecified",,,,,whooping cough,other bacterial diseases,certain infectious or parasitic diseases
1C13,tetanus,,"['obstetrical tetanus', 'tetanus neonatorum']",,,,other bacterial diseases,certain infectious or parasitic diseases
1C14,obstetrical tetanus,,,,,,other bacterial diseases,certain infectious or parasitic diseases
1C15,tetanus neonatorum,,,,,,other bacterial diseases,certain infectious or parasitic diseases
1C16,gas gangrene,,,,,,other bacterial diseases,certain infectious or parasitic diseases
1C17,diphtheria,,,,,,other bacterial diseases,certain infectious or parasitic diseases
1C170,pharyngeal or tonsillar diphtheria,['diphtheritic membranous angina'],,,,diphtheria,other bacterial diseases,certain infectious or parasitic diseases
1C1700,postdiphtheritic paralysis of uvula,,,,pharyngeal or tonsillar diphtheria,diphtheria,other bacterial diseases,certain infectious or parasitic diseases
1C170Y,other specified pharyngeal or tonsillar diphtheria,,,,pharyngeal or tonsillar diphtheria,diphtheria,other bacterial diseases,certain infectious or parasitic diseases
1C170Z,"pharyngeal or tonsillar diphtheria, unspecified",,,,pharyngeal or tonsillar diphtheria,diphtheria,other bacterial diseases,certain infectious or parasitic diseases
1C171,nasal diphtheria,,,,,diphtheria,other bacterial diseases,certain infectious or parasitic diseases
1C172,laryngeal diphtheria,['diphtheritic laryngotracheitis'],,,,diphtheria,other bacterial diseases,certain infectious or parasitic diseases
1C173,cutaneous diphtheria,,['erythrasma'],,,diphtheria,other bacterial diseases,certain infectious or parasitic diseases
1C17Y,other specified diphtheria,,,,,diphtheria,other bacterial diseases,certain infectious or parasitic diseases
1C17Z,"diphtheria, unspecified",,,,,diphtheria,other bacterial diseases,certain infectious or parasitic diseases
1C18,brazilian purpuric fever,['systemic haemophilus aegyptius infection'],,,,,other bacterial diseases,certain infectious or parasitic diseases
1C19,legionellosis,,,,,,other bacterial diseases,certain infectious or parasitic diseases
1C190,nonpneumonic legionnaires' disease,,,,,legionellosis,other bacterial diseases,certain infectious or parasitic diseases
1C191,legionnaires disease,,,,,legionellosis,other bacterial diseases,certain infectious or parasitic diseases
1C19Z,"legionellosis, unspecified",,,,,legionellosis,other bacterial diseases,certain infectious or parasitic diseases
1C1A,listeriosis,['listerial foodborne infection'],,,,,other bacterial diseases,certain infectious or parasitic diseases
1C1A0,cutaneous listeriosis,,,,,listeriosis,other bacterial diseases,certain infectious or parasitic diseases
1C1A1,listerial meningitis or meningoencephalitis,,,,,listeriosis,other bacterial diseases,certain infectious or parasitic diseases
1C1AY,other specified listeriosis,,,,,listeriosis,other bacterial diseases,certain infectious or parasitic diseases
1C1AZ,"listeriosis, unspecified",,,,,listeriosis,other bacterial diseases,certain infectious or parasitic diseases
1C1B,nocardiosis,,,,,,other bacterial diseases,certain infectious or parasitic diseases
1C1B0,pulmonary nocardiosis,,,,,nocardiosis,other bacterial diseases,certain infectious or parasitic diseases
1C1B1,cutaneous nocardiosis,,['actinomycetoma due to nocardia species'],,,nocardiosis,other bacterial diseases,certain infectious or parasitic diseases
1C1BY,other specified forms of nocardiosis,,,,,nocardiosis,other bacterial diseases,certain infectious or parasitic diseases
1C1BZ,"nocardiosis, unspecified",,,,,nocardiosis,other bacterial diseases,certain infectious or parasitic diseases
1C1C,meningococcal disease,['meningococcal infection'],,,,,other bacterial diseases,certain infectious or parasitic diseases
1C1C0,meningococcal meningitis,['meningitis due to neisseria meningitidis'],,,,meningococcal disease,other bacterial diseases,certain infectious or parasitic diseases
1C1C1,waterhouse-friderichsen syndrome,['meningococcal haemorrhagic adrenalitis'],,,,meningococcal disease,other bacterial diseases,certain infectious or parasitic diseases
1C1C2,meningococcaemia,,,,,meningococcal disease,other bacterial diseases,certain infectious or parasitic diseases
1C1C20,acute meningococcaemia,,,,meningococcaemia,meningococcal disease,other bacterial diseases,certain infectious or parasitic diseases
1C1C2Y,other specified meningococcaemia,,,,meningococcaemia,meningococcal disease,other bacterial diseases,certain infectious or parasitic diseases
1C1C2Z,"meningococcaemia, unspecified",,,,meningococcaemia,meningococcal disease,other bacterial diseases,certain infectious or parasitic diseases
1C1CY,other specified meningococcal disease,,,,,meningococcal disease,other bacterial diseases,certain infectious or parasitic diseases
1C1CZ,"meningococcal disease, unspecified",,,,,meningococcal disease,other bacterial diseases,certain infectious or parasitic diseases
1C1D,yaws,,,,,,other bacterial diseases,certain infectious or parasitic diseases
1C1D0,primary yaws,"['chancre of yaws', 'primary framboesia']",,,,yaws,other bacterial diseases,certain infectious or parasitic diseases
1C1D1,secondary yaws,,,,,yaws,other bacterial diseases,certain infectious or parasitic diseases
1C1D2,tertiary yaws,,,,,yaws,other bacterial diseases,certain infectious or parasitic diseases
1C1D3,latent yaws,"['yaws without clinical manifestations, with positive serology']",,,,yaws,other bacterial diseases,certain infectious or parasitic diseases
1C1DZ,"yaws, unspecified",,,,,yaws,other bacterial diseases,certain infectious or parasitic diseases
1C1E,pinta,,,,,,other bacterial diseases,certain infectious or parasitic diseases
1C1E0,primary lesions of pinta,['primary chancre of pinta'],,,,pinta,other bacterial diseases,certain infectious or parasitic diseases
1C1E1,intermediate lesions of pinta,['pintids'],,,,pinta,other bacterial diseases,certain infectious or parasitic diseases
1C1E2,late lesions of pinta,['hypomelanosis due to late pinta'],,,,pinta,other bacterial diseases,certain infectious or parasitic diseases
1C1E3,mixed lesions of pinta,,,,,pinta,other bacterial diseases,certain infectious or parasitic diseases
1C1EZ,"pinta, unspecified",,,,,pinta,other bacterial diseases,certain infectious or parasitic diseases
1C1F,endemic non-venereal syphilis,"['bejel', 'endemic syphilis', 'njovera']",,,,,other bacterial diseases,certain infectious or parasitic diseases
1C1G,lyme borreliosis,,,,,,other bacterial diseases,certain infectious or parasitic diseases
1C1G0,early cutaneous lyme borreliosis,['erythema migrans'],,,,lyme borreliosis,other bacterial diseases,certain infectious or parasitic diseases
1C1G1,disseminated lyme borreliosis,,,,,lyme borreliosis,other bacterial diseases,certain infectious or parasitic diseases
1C1G10,lyme neuroborreliosis,,,,disseminated lyme borreliosis,lyme borreliosis,other bacterial diseases,certain infectious or parasitic diseases
1C1G11,lyme carditis,,,,disseminated lyme borreliosis,lyme borreliosis,other bacterial diseases,certain infectious or parasitic diseases
1C1G12,ophthalmic lyme borreliosis,,,,disseminated lyme borreliosis,lyme borreliosis,other bacterial diseases,certain infectious or parasitic diseases
1C1G13,lyme arthritis,,,,disseminated lyme borreliosis,lyme borreliosis,other bacterial diseases,certain infectious or parasitic diseases
1C1G14,late cutaneous lyme borreliosis,,,,disseminated lyme borreliosis,lyme borreliosis,other bacterial diseases,certain infectious or parasitic diseases
1C1G1Y,other specified disseminated lyme borreliosis,,,,disseminated lyme borreliosis,lyme borreliosis,other bacterial diseases,certain infectious or parasitic diseases
1C1G1Z,"disseminated lyme borreliosis, unspecified",,,,disseminated lyme borreliosis,lyme borreliosis,other bacterial diseases,certain infectious or parasitic diseases
1C1GY,other specified lyme borreliosis,,,,,lyme borreliosis,other bacterial diseases,certain infectious or parasitic diseases
1C1GZ,"lyme borreliosis, unspecified",,,,,lyme borreliosis,other bacterial diseases,certain infectious or parasitic diseases
1C1H,necrotising ulcerative gingivitis,['fusospirochaetal gangrene'],,,,,other bacterial diseases,certain infectious or parasitic diseases
1C1H0,other vincent infections,,,,,necrotising ulcerative gingivitis,other bacterial diseases,certain infectious or parasitic diseases
1C1HY,other specified necrotising ulcerative gingivitis,,,,,necrotising ulcerative gingivitis,other bacterial diseases,certain infectious or parasitic diseases
1C1HZ,"necrotising ulcerative gingivitis, unspecified",,,,,necrotising ulcerative gingivitis,other bacterial diseases,certain infectious or parasitic diseases
1C1J,relapsing fever,,,,,,other bacterial diseases,certain infectious or parasitic diseases
1C1J0,tick-borne relapsing fever,['relapsing fever due to any borrelia species other than borrelia recurrentis'],,,,relapsing fever,other bacterial diseases,certain infectious or parasitic diseases
1C1J1,louse-borne relapsing fever,['relapsing fever due to borrelia recurrentis'],,,,relapsing fever,other bacterial diseases,certain infectious or parasitic diseases
1C1JZ,"relapsing fever, unspecified",,,,,relapsing fever,other bacterial diseases,certain infectious or parasitic diseases
1C20,chlamydial conjunctivitis,['paratrachoma'],,,,other diseases due to chlamydiae,other bacterial diseases,certain infectious or parasitic diseases
1C21,chlamydial peritonitis,,,,,other diseases due to chlamydiae,other bacterial diseases,certain infectious or parasitic diseases
1C22,infections due to chlamydia psittaci,"['psittacosis', 'ornithosis', 'parrot fever']",,,,other diseases due to chlamydiae,other bacterial diseases,certain infectious or parasitic diseases
1C23,trachoma,,,,,other diseases due to chlamydiae,other bacterial diseases,certain infectious or parasitic diseases
1C230,initial stage of trachoma,['trachoma dubium'],,,trachoma,other diseases due to chlamydiae,other bacterial diseases,certain infectious or parasitic diseases
1C231,active stage of trachoma,,,,trachoma,other diseases due to chlamydiae,other bacterial diseases,certain infectious or parasitic diseases
1C23Y,other specified trachoma,,,,trachoma,other diseases due to chlamydiae,other bacterial diseases,certain infectious or parasitic diseases
1C23Z,"trachoma, unspecified",,,,trachoma,other diseases due to chlamydiae,other bacterial diseases,certain infectious or parasitic diseases
1C2Y,other specified diseases due to chlamydiae,,,,,other diseases due to chlamydiae,other bacterial diseases,certain infectious or parasitic diseases
1C2Z,"diseases due to chlamydiae, unspecified",,,,,other diseases due to chlamydiae,other bacterial diseases,certain infectious or parasitic diseases
1C30,typhus fever,,['rickettsiosis due to ehrlichia sennetsu'],,,rickettsioses,other bacterial diseases,certain infectious or parasitic diseases
1C300,epidemic louse-borne typhus fever due to rickettsia prowazekii,,,,typhus fever,rickettsioses,other bacterial diseases,certain infectious or parasitic diseases
1C301,recrudescent typhus,['brill-zinsser disease'],,,typhus fever,rickettsioses,other bacterial diseases,certain infectious or parasitic diseases
1C302,typhus fever due to rickettsia typhi,,,,typhus fever,rickettsioses,other bacterial diseases,certain infectious or parasitic diseases
1C303,typhus fever due to orientia tsutsugamushi,['tsutsugamushi fever'],,,typhus fever,rickettsioses,other bacterial diseases,certain infectious or parasitic diseases
1C30Y,other specified typhus fever,,,,typhus fever,rickettsioses,other bacterial diseases,certain infectious or parasitic diseases
1C30Z,"typhus fever, unspecified",,,,typhus fever,rickettsioses,other bacterial diseases,certain infectious or parasitic diseases
1C31,spotted fever,,,,,rickettsioses,other bacterial diseases,certain infectious or parasitic diseases
1C310,spotted fever due to rickettsia rickettsii,"['rocky mountain spotted fever', 'sao paulo fever']",,,spotted fever,rickettsioses,other bacterial diseases,certain infectious or parasitic diseases
1C311,spotted fever due to rickettsia conorii,"['boutonneuse fever', 'mediterranean tick fever', 'african tick typhus', 'kenya tick typhus']",,,spotted fever,rickettsioses,other bacterial diseases,certain infectious or parasitic diseases
1C312,spotted fever due to rickettsia sibirica,"['north asian tick fever', 'siberian tick typhus']",,,spotted fever,rickettsioses,other bacterial diseases,certain infectious or parasitic diseases
1C313,spotted fever due to rickettsia australis,['queensland tick typhus'],,,spotted fever,rickettsioses,other bacterial diseases,certain infectious or parasitic diseases
1C31Y,other specified spotted fever,,,,spotted fever,rickettsioses,other bacterial diseases,certain infectious or parasitic diseases
1C31Z,"spotted fever, unspecified",,,,spotted fever,rickettsioses,other bacterial diseases,certain infectious or parasitic diseases
1C32,rickettsialpox,['kew gardens spotted fever'],,,,rickettsioses,other bacterial diseases,certain infectious or parasitic diseases
1C33,q fever,"['nine mile fever', 'infection due to coxiella burnetii', 'quadrilateral fever']",,,,rickettsioses,other bacterial diseases,certain infectious or parasitic diseases
1C3Y,other specified rickettsioses,,,,,rickettsioses,other bacterial diseases,certain infectious or parasitic diseases
1C3Z,"rickettsioses, unspecified",,,,,rickettsioses,other bacterial diseases,certain infectious or parasitic diseases
1C40,campylobacteriosis,,,,,,other bacterial diseases,certain infectious or parasitic diseases
