code,code_desc,inclusions,exclusions,block,category,chapter
A310,pulmonary mycobacterial infection,"['infection due to mycobacterium: avium', 'infection due to mycobacterium: intracellulare [battey bacillus]', 'infection due to mycobacterium: kansasii']",,infection due to other mycobacteria,other bacterial diseases,certain infectious and parasitic diseases
A311,cutaneous mycobacterial infection,"['buruli ulcer', 'infection due to mycobacterium: marinum', 'infection due to mycobacterium: ulcerans']",,infection due to other mycobacteria,other bacterial diseases,certain infectious and parasitic diseases
A318,other mycobacterial infections,,,infection due to other mycobacteria,other bacterial diseases,certain infectious and parasitic diseases
A319,"mycobacterial infection, unspecified","['atypical mycobacterium infection nos', 'mycobacteriosis nos']",,infection due to other mycobacteria,other bacterial diseases,certain infectious and parasitic diseases
A32,listeriosis,,,listeriosis,other bacterial diseases,certain infectious and parasitic diseases
A320,cutaneous listeriosis,,,listeriosis,other bacterial diseases,certain infectious and parasitic diseases
A321,listerial meningitis and meningoencephalitis,"['listerial: meningitis', 'listerial: meningoencephalitis']",,listeriosis,other bacterial diseases,certain infectious and parasitic diseases
A327,listerial sepsis,,,listeriosis,other bacterial diseases,certain infectious and parasitic diseases
A328,other forms of listeriosis,"['listerial: cerebral arteritis', 'listerial: endocarditis', 'oculoglandular listeriosis']",,listeriosis,other bacterial diseases,certain infectious and parasitic diseases
A329,"listeriosis, unspecified",,,listeriosis,other bacterial diseases,certain infectious and parasitic diseases
A33,tetanus neonatorum,,,tetanus neonatorum,other bacterial diseases,certain infectious and parasitic diseases
A34,obstetrical tetanus,,,obstetrical tetanus,other bacterial diseases,certain infectious and parasitic diseases
A35,other tetanus,,,other tetanus,other bacterial diseases,certain infectious and parasitic diseases
A36,diphtheria,,,diphtheria,other bacterial diseases,certain infectious and parasitic diseases
A360,pharyngeal diphtheria,"['diphtheritic membranous angina', 'tonsillar diphtheria']",,diphtheria,other bacterial diseases,certain infectious and parasitic diseases
A361,nasopharyngeal diphtheria,,,diphtheria,other bacterial diseases,certain infectious and parasitic diseases
A362,laryngeal diphtheria,['diphtheritic laryngotracheitis'],,diphtheria,other bacterial diseases,certain infectious and parasitic diseases
A363,cutaneous diphtheria,,['erythrasma'],diphtheria,other bacterial diseases,certain infectious and parasitic diseases
A368,other diphtheria,"['diphtheritic: conjunctivitis', 'diphtheritic: myocarditis', 'diphtheritic: polyneuritis']",,diphtheria,other bacterial diseases,certain infectious and parasitic diseases
A369,"diphtheria, unspecified",,,diphtheria,other bacterial diseases,certain infectious and parasitic diseases
A37,whooping cough,,,whooping cough,other bacterial diseases,certain infectious and parasitic diseases
A370,whooping cough due to bordetella pertussis,,,whooping cough,other bacterial diseases,certain infectious and parasitic diseases
A371,whooping cough due to bordetella parapertussis,,,whooping cough,other bacterial diseases,certain infectious and parasitic diseases
A378,whooping cough due to other bordetella species,,,whooping cough,other bacterial diseases,certain infectious and parasitic diseases
A379,"whooping cough, unspecified",,,whooping cough,other bacterial diseases,certain infectious and parasitic diseases
A38,scarlet fever,,,scarlet fever,other bacterial diseases,certain infectious and parasitic diseases
A39,meningococcal infection,,,meningococcal infection,other bacterial diseases,certain infectious and parasitic diseases
A390,meningococcal meningitis,,,meningococcal infection,other bacterial diseases,certain infectious and parasitic diseases
A391,waterhouse-friderichsen syndrome,"['meningococcal haemorrhagic adrenalitis', 'meningococcic adrenal syndrome']",,meningococcal infection,other bacterial diseases,certain infectious and parasitic diseases
A392,acute meningococcaemia,,,meningococcal infection,other bacterial diseases,certain infectious and parasitic diseases
A393,chronic meningococcaemia,,,meningococcal infection,other bacterial diseases,certain infectious and parasitic diseases
A394,"meningococcaemia, unspecified",['meningococcal bacteraemia nos'],,meningococcal infection,other bacterial diseases,certain infectious and parasitic diseases
A395,meningococcal heart disease,"['meningococcal: carditis nos', 'meningococcal: endocarditis', 'meningococcal: myocarditis', 'meningococcal: pericarditis']",,meningococcal infection,other bacterial diseases,certain infectious and parasitic diseases
A398,other meningococcal infections,"['meningococcal: arthritis', 'meningococcal: conjunctivitis', 'meningococcal: encephalitis', 'meningococcal: retrobulbar neuritis', 'postmeningococcal arthritis']",,meningococcal infection,other bacterial diseases,certain infectious and parasitic diseases
A399,"meningococcal infection, unspecified",['meningococcal disease nos'],,meningococcal infection,other bacterial diseases,certain infectious and parasitic diseases
A40,streptococcal sepsis,,,streptococcal sepsis,other bacterial diseases,certain infectious and parasitic diseases
A400,"sepsis due to streptococcus, group a",,,streptococcal sepsis,other bacterial diseases,certain infectious and parasitic diseases
A401,"sepsis due to streptococcus, group b",,,streptococcal sepsis,other bacterial diseases,certain infectious and parasitic diseases
A402,"sepsis due to streptococcus, group d and enterococcus",,,streptococcal sepsis,other bacterial diseases,certain infectious and parasitic diseases
A403,sepsis due to streptococcus pneumoniae,['pneumococcal sepsis'],,streptococcal sepsis,other bacterial diseases,certain infectious and parasitic diseases
A408,other streptococcal sepsis,,,streptococcal sepsis,other bacterial diseases,certain infectious and parasitic diseases
A409,"streptococcal sepsis, unspecified",,,streptococcal sepsis,other bacterial diseases,certain infectious and parasitic diseases
A41,other sepsis,,,other sepsis,other bacterial diseases,certain infectious and parasitic diseases
A410,sepsis due to staphylococcus aureus,,,other sepsis,other bacterial diseases,certain infectious and parasitic diseases
A411,sepsis due to other specified staphylococcus,['sepsis due to coagulase-negative staphylococcus'],,other sepsis,other bacterial diseases,certain infectious and parasitic diseases
A412,sepsis due to unspecified staphylococcus,,,other sepsis,other bacterial diseases,certain infectious and parasitic diseases
A413,sepsis due to haemophilus influenzae,,,other sepsis,other bacterial diseases,certain infectious and parasitic diseases
A414,sepsis due to anaerobes,,['gas gangrene'],other sepsis,other bacterial diseases,certain infectious and parasitic diseases
A415,sepsis due to other gram-negative organisms,['gram-negative sepsis nos'],,other sepsis,other bacterial diseases,certain infectious and parasitic diseases
A418,other specified sepsis,,,other sepsis,other bacterial diseases,certain infectious and parasitic diseases
A419,"sepsis, unspecified",['septicaemia'],,other sepsis,other bacterial diseases,certain infectious and parasitic diseases
A42,actinomycosis,,,actinomycosis,other bacterial diseases,certain infectious and parasitic diseases
A420,pulmonary actinomycosis,,,actinomycosis,other bacterial diseases,certain infectious and parasitic diseases
A421,abdominal actinomycosis,,,actinomycosis,other bacterial diseases,certain infectious and parasitic diseases
A422,cervicofacial actinomycosis,,,actinomycosis,other bacterial diseases,certain infectious and parasitic diseases
A427,actinomycotic sepsis,,,actinomycosis,other bacterial diseases,certain infectious and parasitic diseases
A428,other forms of actinomycosis,,,actinomycosis,other bacterial diseases,certain infectious and parasitic diseases
A429,"actinomycosis, unspecified",,,actinomycosis,other bacterial diseases,certain infectious and parasitic diseases
A43,nocardiosis,,,nocardiosis,other bacterial diseases,certain infectious and parasitic diseases
A430,pulmonary nocardiosis,,,nocardiosis,other bacterial diseases,certain infectious and parasitic diseases
A431,cutaneous nocardiosis,,,nocardiosis,other bacterial diseases,certain infectious and parasitic diseases
A438,other forms of nocardiosis,,,nocardiosis,other bacterial diseases,certain infectious and parasitic diseases
A439,"nocardiosis, unspecified",,,nocardiosis,other bacterial diseases,certain infectious and parasitic diseases
A44,bartonellosis,,,bartonellosis,other bacterial diseases,certain infectious and parasitic diseases
A440,systemic bartonellosis,['oroya fever'],,bartonellosis,other bacterial diseases,certain infectious and parasitic diseases
A441,cutaneous and mucocutaneous bartonellosis,['verruga peruana'],,bartonellosis,other bacterial diseases,certain infectious and parasitic diseases
A448,other forms of bartonellosis,,,bartonellosis,other bacterial diseases,certain infectious and parasitic diseases
A449,"bartonellosis, unspecified",,,bartonellosis,other bacterial diseases,certain infectious and parasitic diseases
A46,erysipelas,,,erysipelas,other bacterial diseases,certain infectious and parasitic diseases
A48,"other bacterial diseases, not elsewhere classified",,,"other bacterial diseases, not elsewhere classified",other bacterial diseases,certain infectious and parasitic diseases
A480,gas gangrene,"['clostridial: cellulitis', 'clostridial: myonecrosis']",,"other bacterial diseases, not elsewhere classified",other bacterial diseases,certain infectious and parasitic diseases
A481,legionnaires disease,,,"other bacterial diseases, not elsewhere classified",other bacterial diseases,certain infectious and parasitic diseases
A482,nonpneumonic legionnaires disease [pontiac fever],,,"other bacterial diseases, not elsewhere classified",other bacterial diseases,certain infectious and parasitic diseases
A483,toxic shock syndrome,,"['endotoxic shock nos', 'sepsis nos']","other bacterial diseases, not elsewhere classified",other bacterial diseases,certain infectious and parasitic diseases
A484,brazilian purpuric fever,['systemic haemophilus aegyptius infection'],,"other bacterial diseases, not elsewhere classified",other bacterial diseases,certain infectious and parasitic diseases
A488,other specified bacterial diseases,,,"other bacterial diseases, not elsewhere classified",other bacterial diseases,certain infectious and parasitic diseases
A49,bacterial infection of unspecified site,,,bacterial infection of unspecified site,other bacterial diseases,certain infectious and parasitic diseases
A490,"staphylococcal infection, unspecified site",,,bacterial infection of unspecified site,other bacterial diseases,certain infectious and parasitic diseases
A491,"streptococcal and enterococcal infection, unspecified site",,,bacterial infection of unspecified site,other bacterial diseases,certain infectious and parasitic diseases
A492,"haemophilus influenzae infection, unspecified site",,,bacterial infection of unspecified site,other bacterial diseases,certain infectious and parasitic diseases
A493,"mycoplasma infection, unspecified site",,,bacterial infection of unspecified site,other bacterial diseases,certain infectious and parasitic diseases
A498,other bacterial infections of unspecified site,,,bacterial infection of unspecified site,other bacterial diseases,certain infectious and parasitic diseases
A499,"bacterial infection, unspecified",['bacteraemia nos'],,bacterial infection of unspecified site,other bacterial diseases,certain infectious and parasitic diseases
A50,congenital syphilis,,,congenital syphilis,infections with a predominantly sexual mode of transmission,certain infectious and parasitic diseases
A500,"early congenital syphilis, symptomatic","['early congenital syphilis: cutaneous', 'early congenital syphilis: mucocutaneous', 'early congenital syphilis: visceral', 'early congenital syphilitic: laryngitis', 'early congenital syphilitic: oculopathy', 'early congenital syphilitic: osteochondropathy', 'early congenital syphilitic: pharyngitis', 'early congenital syphilitic: pneumonia', 'early congenital syphilitic: rhinitis']",,congenital syphilis,infections with a predominantly sexual mode of transmission,certain infectious and parasitic diseases
A501,"early congenital syphilis, latent",,,congenital syphilis,infections with a predominantly sexual mode of transmission,certain infectious and parasitic diseases
A502,"early congenital syphilis, unspecified",,,congenital syphilis,infections with a predominantly sexual mode of transmission,certain infectious and parasitic diseases
A503,late congenital syphilitic oculopathy,"['late congenital syphilitic interstitial keratitis', 'late congenital syphilitic oculopathy nec']",['hutchinson triad'],congenital syphilis,infections with a predominantly sexual mode of transmission,certain infectious and parasitic diseases
A504,late congenital neurosyphilis [juvenile neurosyphilis],"['dementia paralytica juvenilis', 'juvenile: general paresis', 'juvenile: tabes dorsalis', 'juvenile: taboparetic neurosyphilis', 'late congenital syphilitic: encephalitis', 'late congenital syphilitic: meningitis', 'late congenital syphilitic: polyneuropathy']",['hutchinson triad'],congenital syphilis,infections with a predominantly sexual mode of transmission,certain infectious and parasitic diseases
A505,"other late congenital syphilis, symptomatic","['clutton joints', 'hutchinson: teeth', 'hutchinson: triad', 'late congenital: cardiovascular syphilis', 'late congenital: syphilitic: arthropathy', 'late congenital: syphilitic: osteochondropathy', 'syphilitic saddle nose']",,congenital syphilis,infections with a predominantly sexual mode of transmission,certain infectious and parasitic diseases
A506,"late congenital syphilis, latent",,,congenital syphilis,infections with a predominantly sexual mode of transmission,certain infectious and parasitic diseases
A507,"late congenital syphilis, unspecified",,,congenital syphilis,infections with a predominantly sexual mode of transmission,certain infectious and parasitic diseases
A509,"congenital syphilis, unspecified",,,congenital syphilis,infections with a predominantly sexual mode of transmission,certain infectious and parasitic diseases
A51,early syphilis,,,early syphilis,infections with a predominantly sexual mode of transmission,certain infectious and parasitic diseases
A510,primary genital syphilis,['syphilitic chancre nos'],,early syphilis,infections with a predominantly sexual mode of transmission,certain infectious and parasitic diseases
A511,primary anal syphilis,,,early syphilis,infections with a predominantly sexual mode of transmission,certain infectious and parasitic diseases
A512,primary syphilis of other sites,,,early syphilis,infections with a predominantly sexual mode of transmission,certain infectious and parasitic diseases
A513,secondary syphilis of skin and mucous membranes,"['condyloma latum', 'syphilitic: alopecia', 'syphilitic: leukoderma', 'syphilitic: mucous patch']",,early syphilis,infections with a predominantly sexual mode of transmission,certain infectious and parasitic diseases
A514,other secondary syphilis,"['secondary syphilitic: female pelvic inflammatory disease', 'secondary syphilitic: iridocyclitis', 'secondary syphilitic: lymphadenopathy', 'secondary syphilitic: meningitis', 'secondary syphilitic: myositis', 'secondary syphilitic: oculopathy nec', 'secondary syphilitic: periostitis']",,early syphilis,infections with a predominantly sexual mode of transmission,certain infectious and parasitic diseases
A515,"early syphilis, latent",,,early syphilis,infections with a predominantly sexual mode of transmission,certain infectious and parasitic diseases
A519,"early syphilis, unspecified",,,early syphilis,infections with a predominantly sexual mode of transmission,certain infectious and parasitic diseases
A52,late syphilis,,,late syphilis,infections with a predominantly sexual mode of transmission,certain infectious and parasitic diseases
A520,cardiovascular syphilis,"['cardiovascular syphilis nos', 'syphilitic: aneurysm of aorta', 'syphilitic: aortic incompetence', 'syphilitic: aortitis', 'syphilitic: arteritis, cerebral', 'syphilitic: endocarditis nos', 'syphilitic: myocarditis', 'syphilitic: pericarditis', 'syphilitic: pulmonary regurgitation']",,late syphilis,infections with a predominantly sexual mode of transmission,certain infectious and parasitic diseases
A521,symptomatic neurosyphilis,"['late syphilitic: acoustic neuritis', 'late syphilitic: encephalitis', 'late syphilitic: meningitis', 'late syphilitic: optic atrophy', 'late syphilitic: polyneuropathy', 'late syphilitic: retrobulbar neuritis', 'syphilitic parkinsonism', 'syphilitic (tabetic) arthropathy', 'tabes dorsalis']",['charcot arthropathy'],late syphilis,infections with a predominantly sexual mode of transmission,certain infectious and parasitic diseases
A522,asymptomatic neurosyphilis,,,late syphilis,infections with a predominantly sexual mode of transmission,certain infectious and parasitic diseases
A523,"neurosyphilis, unspecified","['gumma (syphilitic) of central nervous system nos', 'syphilis (late) of central nervous system nos', 'syphiloma of central nervous system nos']",,late syphilis,infections with a predominantly sexual mode of transmission,certain infectious and parasitic diseases
A527,other symptomatic late syphilis,"['glomerular disease in syphilis', 'gumma (syphilitic) any sites, except those classified to a52.0-a52.3', 'late or tertiary syphilis any sites, except those classified to a52.0-a52.3', 'late syphilitic: bursitis', 'late syphilitic: chorioretinitis', 'late syphilitic: episcleritis', 'late syphilitic: female pelvic inflammatory disease', 'late syphilitic: leukoderma', 'late syphilitic: oculopathy nec', 'late syphilitic: peritonitis', 'syphilis [stage unspecified] of: bone', 'syphilis [stage unspecified] of: liver', 'syphilis [stage unspecified] of: lung', 'syphilis [stage unspecified] of: muscle', 'syphilis [stage unspecified] of: synovium']",,late syphilis,infections with a predominantly sexual mode of transmission,certain infectious and parasitic diseases
A528,"late syphilis, latent",,,late syphilis,infections with a predominantly sexual mode of transmission,certain infectious and parasitic diseases
A529,"late syphilis, unspecified",,,late syphilis,infections with a predominantly sexual mode of transmission,certain infectious and parasitic diseases
A53,other and unspecified syphilis,,,other and unspecified syphilis,infections with a predominantly sexual mode of transmission,certain infectious and parasitic diseases
A530,"latent syphilis, unspecified as early or late","['latent syphilis nos', 'positive serological reaction for syphilis']",,other and unspecified syphilis,infections with a predominantly sexual mode of transmission,certain infectious and parasitic diseases
A539,"syphilis, unspecified","['infection due to treponema pallidum nos', 'syphilis (acquired) nos']",['syphilis nos causing death under two years of age'],other and unspecified syphilis,infections with a predominantly sexual mode of transmission,certain infectious and parasitic diseases
A54,gonococcal infection,,,gonococcal infection,infections with a predominantly sexual mode of transmission,certain infectious and parasitic diseases
A540,gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess,"['gonococcal: cervicitis nos', 'gonococcal: cystitis nos', 'gonococcal: urethritis nos', 'gonococcal: vulvovaginitis nos']","['with: genitourinary gland abscess', 'with: periurethral abscess']",gonococcal infection,infections with a predominantly sexual mode of transmission,certain infectious and parasitic diseases
A541,gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess,['gonococcal bartholin gland abscess'],,gonococcal infection,infections with a predominantly sexual mode of transmission,certain infectious and parasitic diseases
A542,gonococcal pelviperitonitis and other gonococcal genitourinary infections,"['gonococcal: epididymitis', 'gonococcal: female pelvic inflammatory disease', 'gonococcal: orchitis', 'gonococcal: prostatitis']",['gonococcal peritonitis'],gonococcal infection,infections with a predominantly sexual mode of transmission,certain infectious and parasitic diseases
A543,gonococcal infection of eye,"['gonococcal: conjunctivitis', 'gonococcal: iridocyclitis', 'ophthalmia neonatorum due to gonococcus']",,gonococcal infection,infections with a predominantly sexual mode of transmission,certain infectious and parasitic diseases
A544,gonococcal infection of musculoskeletal system,"['gonococcal: arthritis', 'gonococcal: bursitis', 'gonococcal: osteomyelitis', 'gonococcal: synovitis', 'gonococcal: tenosynovitis']",,gonococcal infection,infections with a predominantly sexual mode of transmission,certain infectious and parasitic diseases
A545,gonococcal pharyngitis,,,gonococcal infection,infections with a predominantly sexual mode of transmission,certain infectious and parasitic diseases
A546,gonococcal infection of anus and rectum,,,gonococcal infection,infections with a predominantly sexual mode of transmission,certain infectious and parasitic diseases
A548,other gonococcal infections,"['gonococcal: brain abscess', 'gonococcal: endocarditis', 'gonococcal: meningitis', 'gonococcal: myocarditis', 'gonococcal: pericarditis', 'gonococcal: peritonitis', 'gonococcal: pneumonia', 'gonococcal: sepsis', 'gonococcal: skin lesions']",['gonococcal pelviperitonitis'],gonococcal infection,infections with a predominantly sexual mode of transmission,certain infectious and parasitic diseases
A549,"gonococcal infection, unspecified",,,gonococcal infection,infections with a predominantly sexual mode of transmission,certain infectious and parasitic diseases
A55,chlamydial lymphogranuloma (venereum),,,chlamydial lymphogranuloma (venereum),infections with a predominantly sexual mode of transmission,certain infectious and parasitic diseases
A56,other sexually transmitted chlamydial diseases,,,other sexually transmitted chlamydial diseases,infections with a predominantly sexual mode of transmission,certain infectious and parasitic diseases
A560,chlamydial infection of lower genitourinary tract,"['chlamydial: cervicitis', 'chlamydial: cystitis', 'chlamydial: urethritis', 'chlamydial: vulvovaginitis']",,other sexually transmitted chlamydial diseases,infections with a predominantly sexual mode of transmission,certain infectious and parasitic diseases
A561,chlamydial infection of pelviperitoneum and other genitourinary organs,"['chlamydial: epididymitis', 'chlamydial: female pelvic inflammatory disease', 'chlamydial: orchitis']",,other sexually transmitted chlamydial diseases,infections with a predominantly sexual mode of transmission,certain infectious and parasitic diseases
A562,"chlamydial infection of genitourinary tract, unspecified",,,other sexually transmitted chlamydial diseases,infections with a predominantly sexual mode of transmission,certain infectious and parasitic diseases
A563,chlamydial infection of anus and rectum,,,other sexually transmitted chlamydial diseases,infections with a predominantly sexual mode of transmission,certain infectious and parasitic diseases
A564,chlamydial infection of pharynx,,,other sexually transmitted chlamydial diseases,infections with a predominantly sexual mode of transmission,certain infectious and parasitic diseases
A568,sexually transmitted chlamydial infection of other sites,,,other sexually transmitted chlamydial diseases,infections with a predominantly sexual mode of transmission,certain infectious and parasitic diseases
A57,chancroid,,,chancroid,infections with a predominantly sexual mode of transmission,certain infectious and parasitic diseases
A58,granuloma inguinale,,,granuloma inguinale,infections with a predominantly sexual mode of transmission,certain infectious and parasitic diseases
A59,trichomoniasis,,,trichomoniasis,infections with a predominantly sexual mode of transmission,certain infectious and parasitic diseases
A590,urogenital trichomoniasis,"['leukorrhoea (vaginalis) due to trichomonas (vaginalis)', 'prostatitis due to trichomonas (vaginalis)']",,trichomoniasis,infections with a predominantly sexual mode of transmission,certain infectious and parasitic diseases
A598,trichomoniasis of other sites,,,trichomoniasis,infections with a predominantly sexual mode of transmission,certain infectious and parasitic diseases
A599,"trichomoniasis, unspecified",,,trichomoniasis,infections with a predominantly sexual mode of transmission,certain infectious and parasitic diseases
A60,anogenital herpesviral [herpes simplex] infection,,,anogenital herpesviral [herpes simplex] infection,infections with a predominantly sexual mode of transmission,certain infectious and parasitic diseases
A600,herpesviral infection of genitalia and urogenital tract,"['herpesviral infection of genital tract: female', 'herpesviral infection of genital tract: male']",,anogenital herpesviral [herpes simplex] infection,infections with a predominantly sexual mode of transmission,certain infectious and parasitic diseases
A601,herpesviral infection of perianal skin and rectum,,,anogenital herpesviral [herpes simplex] infection,infections with a predominantly sexual mode of transmission,certain infectious and parasitic diseases
A609,"anogenital herpesviral infection, unspecified",,,anogenital herpesviral [herpes simplex] infection,infections with a predominantly sexual mode of transmission,certain infectious and parasitic diseases
A63,"other predominantly sexually transmitted diseases, not elsewhere classified",,,"other predominantly sexually transmitted diseases, not elsewhere classified",infections with a predominantly sexual mode of transmission,certain infectious and parasitic diseases
A630,anogenital (venereal) warts,,,"other predominantly sexually transmitted diseases, not elsewhere classified",infections with a predominantly sexual mode of transmission,certain infectious and parasitic diseases
A638,other specified predominantly sexually transmitted diseases,,,"other predominantly sexually transmitted diseases, not elsewhere classified",infections with a predominantly sexual mode of transmission,certain infectious and parasitic diseases
A64,unspecified sexually transmitted disease,,,unspecified sexually transmitted disease,infections with a predominantly sexual mode of transmission,certain infectious and parasitic diseases
A65,nonvenereal syphilis,,,nonvenereal syphilis,other spirochaetal diseases,certain infectious and parasitic diseases
A66,yaws,,,yaws,other spirochaetal diseases,certain infectious and parasitic diseases
A660,initial lesions of yaws,"['chancre of yaws', 'framboesia, initial or primary', 'initial framboesial ulcer', 'mother yaw']",,yaws,other spirochaetal diseases,certain infectious and parasitic diseases
A661,multiple papillomata and wet crab yaws,"['framboesioma', 'pianoma', 'plantar or palmar papilloma of yaws']",,yaws,other spirochaetal diseases,certain infectious and parasitic diseases
A662,other early skin lesions of yaws,"['cutaneous yaws, less than five years after infection', 'early yaws (cutaneous) (macular) (maculopapular) (micropapular) (papular)', 'framboeside of early yaws']",,yaws,other spirochaetal diseases,certain infectious and parasitic diseases
A663,hyperkeratosis of yaws,"['ghoul hand', 'hyperkeratosis, palmar or plantar (early)(late) due to yaws', 'worm-eaten soles']",,yaws,other spirochaetal diseases,certain infectious and parasitic diseases
A664,gummata and ulcers of yaws,"['gummatous framboeside', 'nodular late yaws (ulcerated)']",,yaws,other spirochaetal diseases,certain infectious and parasitic diseases
A665,gangosa,['rhinopharyngitis mutilans'],,yaws,other spirochaetal diseases,certain infectious and parasitic diseases
A666,bone and joint lesions of yaws,"['ganglion of yaws (early)(late)', 'hydrarthrosis of yaws (early)(late)', 'osteitis of yaws (early)(late)', 'periostitis (hypertrophic) of yaws (early)(late)', 'goundou of yaws (late)', 'gumma, bone of yaws (late)', 'gummatous osteitis or periostitis of yaws (late)']",,yaws,other spirochaetal diseases,certain infectious and parasitic diseases
A667,other manifestations of yaws,"['juxta-articular nodules of yaws', 'mucosal yaws']",,yaws,other spirochaetal diseases,certain infectious and parasitic diseases
A668,latent yaws,"['yaws without clinical manifestations, with positive serology']",,yaws,other spirochaetal diseases,certain infectious and parasitic diseases
A669,"yaws, unspecified",,,yaws,other spirochaetal diseases,certain infectious and parasitic diseases
A67,pinta [carate],,,pinta [carate],other spirochaetal diseases,certain infectious and parasitic diseases
A670,primary lesions of pinta,"['chancre (primary) of pinta [carate]', 'papule (primary) of pinta [carate]']",,pinta [carate],other spirochaetal diseases,certain infectious and parasitic diseases
A671,intermediate lesions of pinta,"['erythematous plaques of pinta [carate]', 'hyperchromic lesions of pinta [carate]', 'hyperkeratosis of pinta [carate]', 'pintids']",,pinta [carate],other spirochaetal diseases,certain infectious and parasitic diseases
A672,late lesions of pinta,"['cardiovascular lesions', 'skin lesions: achromic of pinta [carate]', 'skin lesions: cicatricial of pinta [carate]', 'skin lesions: dyschromic of pinta [carate]']",,pinta [carate],other spirochaetal diseases,certain infectious and parasitic diseases
A673,mixed lesions of pinta,['achromic with hyperchromic skin lesions of pinta [carate]'],,pinta [carate],other spirochaetal diseases,certain infectious and parasitic diseases
A679,"pinta, unspecified",,,pinta [carate],other spirochaetal diseases,certain infectious and parasitic diseases
A68,relapsing fevers,,,relapsing fevers,other spirochaetal diseases,certain infectious and parasitic diseases
A680,louse-borne relapsing fever,['relapsing fever due to borrelia recurrentis'],,relapsing fevers,other spirochaetal diseases,certain infectious and parasitic diseases
A681,tick-borne relapsing fever,['relapsing fever due to any borrelia species other than borrelia recurrentis'],,relapsing fevers,other spirochaetal diseases,certain infectious and parasitic diseases
A689,"relapsing fever, unspecified",,,relapsing fevers,other spirochaetal diseases,certain infectious and parasitic diseases
A69,other spirochaetal infections,,,other spirochaetal infections,other spirochaetal diseases,certain infectious and parasitic diseases
A690,necrotizing ulcerative stomatitis,"['cancrum oris', 'fusospirochaetal gangrene', 'noma', 'stomatitis gangrenosa']",,other spirochaetal infections,other spirochaetal diseases,certain infectious and parasitic diseases
A691,other vincent infections,"['fusospirochaetal pharyngitis', 'necrotizing ulcerative (acute): gingivitis', 'necrotizing ulcerative (acute): gingivostomatitis', 'spirochaetal stomatitis', 'trench mouth', 'vincent: angina', 'vincent: gingivitis']",,other spirochaetal infections,other spirochaetal diseases,certain infectious and parasitic diseases
A692,lyme disease,['erythema chronicum migrans due to borrelia burgdorferi'],,other spirochaetal infections,other spirochaetal diseases,certain infectious and parasitic diseases
A698,other specified spirochaetal infections,,,other spirochaetal infections,other spirochaetal diseases,certain infectious and parasitic diseases
A699,"spirochaetal infection, unspecified",,,other spirochaetal infections,other spirochaetal diseases,certain infectious and parasitic diseases
A70,chlamydia psittaci infection,,,chlamydia psittaci infection,other diseases caused by chlamydiae,certain infectious and parasitic diseases
A71,trachoma,,,trachoma,other diseases caused by chlamydiae,certain infectious and parasitic diseases
A710,initial stage of trachoma,['trachoma dubium'],,trachoma,other diseases caused by chlamydiae,certain infectious and parasitic diseases
A711,active stage of trachoma,"['granular conjunctivitis (trachomatous)', 'trachomatous: follicular conjunctivitis', 'trachomatous: pannus']",,trachoma,other diseases caused by chlamydiae,certain infectious and parasitic diseases
A719,"trachoma, unspecified",,,trachoma,other diseases caused by chlamydiae,certain infectious and parasitic diseases
A74,other diseases caused by chlamydiae,,,other diseases caused by chlamydiae,other diseases caused by chlamydiae,certain infectious and parasitic diseases
A740,chlamydial conjunctivitis,['paratrachoma'],,other diseases caused by chlamydiae,other diseases caused by chlamydiae,certain infectious and parasitic diseases
A748,other chlamydial diseases,['chlamydial peritonitis'],,other diseases caused by chlamydiae,other diseases caused by chlamydiae,certain infectious and parasitic diseases
A749,"chlamydial infection, unspecified",['chlamydiosis nos'],,other diseases caused by chlamydiae,other diseases caused by chlamydiae,certain infectious and parasitic diseases
A75,typhus fever,,,typhus fever,rickettsioses,certain infectious and parasitic diseases
A750,epidemic louse-borne typhus fever due to rickettsia prowazekii,"['classical typhus (fever)', 'epidemic (louse-borne) typhus']",,typhus fever,rickettsioses,certain infectious and parasitic diseases
A751,recrudescent typhus [brill disease],['brill-zinsser disease'],,typhus fever,rickettsioses,certain infectious and parasitic diseases
A752,typhus fever due to rickettsia typhi,['murine (flea-borne) typhus'],,typhus fever,rickettsioses,certain infectious and parasitic diseases
A753,typhus fever due to rickettsia tsutsugamushi,"['scrub (mite-borne) typhus', 'tsutsugamushi fever']",,typhus fever,rickettsioses,certain infectious and parasitic diseases
A759,"typhus fever, unspecified",['typhus (fever) nos'],,typhus fever,rickettsioses,certain infectious and parasitic diseases
A77,spotted fever [tick-borne rickettsioses],,,spotted fever [tick-borne rickettsioses],rickettsioses,certain infectious and parasitic diseases
A770,spotted fever due to rickettsia rickettsii,"['rocky mountain spotted fever', 'sao paulo fever']",,spotted fever [tick-borne rickettsioses],rickettsioses,certain infectious and parasitic diseases
A771,spotted fever due to rickettsia conorii,"['african tick typhus', 'boutonneuse fever', 'india tick typhus', 'kenya tick typhus', 'marseilles fever', 'mediterranean tick fever']",,spotted fever [tick-borne rickettsioses],rickettsioses,certain infectious and parasitic diseases
A772,spotted fever due to rickettsia sibirica,"['north asian tick fever', 'siberian tick typhus']",,spotted fever [tick-borne rickettsioses],rickettsioses,certain infectious and parasitic diseases
